,SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,GP,MIN,HEIGHT,POSITION,HEIGHT_CM,POSITION_SIMPLE,Lv1,Lv2,Lv1_and_Lv2
195,1996-97,Horace Grant,270,ORL,67,37.2,6-10,Center,208.3,C,True,True,True
196,1996-97,Horacio Llamas,1024,PHX,20,4.9,6-11,Center,210.8,C,False,False,False
197,1996-97,Hot Rod Williams,73,PHX,68,31.4,6-11,Center,210.8,C,True,True,True
198,1996-97,Howard Eisley,458,UTA,82,13.2,6-2,Guard,188.0,G,True,False,False
199,1996-97,Hubert Davis,93,TOR,36,17.3,6-5,Guard,195.6,G,False,False,False
200,1996-97,Ike Austin,1134,MIA,82,22.9,6-10,Center,208.3,C,True,True,True
201,1996-97,Isaiah Rider,375,POR,76,33.8,,Guard,,G,True,True,True
202,1996-97,Ivano Newbill,1096,ATL,72,11.8,6-10,Center,208.3,C,True,False,False
203,1996-97,Jack Haley,917,NJN,20,3.7,6-10,Forward,208.3,F,False,False,False
204,1996-97,Jalen Rose,147,IND,66,18.0,6-8,Guard-Forward,203.2,G,True,False,False
205,1996-97,Jamal Mashburn,469,MIA,69,31.3,6-8,Forward,203.2,F,True,True,True
206,1996-97,James Robinson,381,MIN,69,19.0,,Guard,,G,True,False,False
207,1996-97,James Scott,1109,MIA,8,4.0,6-6,Forward,198.1,F,False,False,False
208,1996-97,Jamie Feick,994,SAS,41,15.2,6-8,Forward,203.2,F,True,False,False
209,1996-97,Jamie Watson,320,DAL,23,14.8,6-7,Forward,200.7,F,False,False,False
210,1996-97,Jaren Jackson,1114,WAS,75,15.1,6-6,Guard,198.1,G,True,False,False
211,1996-97,Jason Caffey,679,CHI,75,18.8,6-8,Forward,203.2,F,True,False,False
212,1996-97,Jason Kidd,467,PHX,55,35.7,6-4,Guard,193.0,G,True,True,True
213,1996-97,Jason Sasser,987,DAL,8,8.4,6-7,Forward,200.7,F,False,False,False
214,1996-97,Jayson Williams,420,NJN,41,34.9,6-9,Forward,205.7,F,True,True,True
215,1996-97,Jeff Grayer,81,SAC,25,12.7,6-5,Guard,195.6,G,False,False,False
216,1996-97,Jeff Hornacek,204,UTA,82,31.6,6-4,Guard,193.0,G,True,True,True
217,1996-97,Jeff McInnis,976,DEN,13,9.0,6-4,Guard,193.0,G,False,False,False
218,1996-97,Jermaine O'Neal,979,POR,45,10.2,6-11,Center-Forward,210.8,F,True,False,False
219,1996-97,Jerome Allen,706,DEN,76,12.4,6-4,Guard,193.0,G,True,False,False
220,1996-97,Jerome Kersey,760,LAL,70,25.2,,,,,True,True,True
221,1996-97,Jerome Williams,966,DET,33,5.3,6-9,Forward-Center,205.7,F,False,False,False
222,1996-97,Jerry Stackhouse,711,PHI,81,39.1,6-6,Forward,198.1,F,True,True,True
223,1996-97,Jim Jackson,754,NJN,77,36.8,6-6,Forward-Guard,198.1,G,True,True,True
224,1996-97,Jim McIlvaine,29,SEA,82,18.1,,Center,,C,True,False,False
225,1996-97,Jimmy Carruth,1131,MIL,4,4.8,6-10,Forward,208.3,F,False,False,False
226,1996-97,Jimmy King,728,DEN,2,10.8,6-5,Guard,195.6,G,False,False,False
227,1996-97,Jimmy Oliver,1429,TOR,4,10.7,6-5,Guard,195.6,G,False,False,False
228,1996-97,Joe Courtney,1432,SAS,9,11.2,6-8,Forward,203.2,F,False,False,False
229,1996-97,Joe Dumars,247,DET,79,37.0,6-3,Guard,190.5,G,True,True,True
230,1996-97,Joe Kleine,170,NJN,59,14.4,6-11,Center,210.8,C,True,False,False
231,1996-97,Joe Smith,693,GSW,80,38.6,6-10,Forward-Center,208.3,F,True,True,True
232,1996-97,Joe Stephens,1086,HOU,2,4.9,6-7,Forward,200.7,F,False,False,False
233,1996-97,Joe Wolf,341,MIL,56,9.3,6-11,Forward,210.8,F,True,False,False
234,1996-97,John Crotty,180,MIA,48,13.8,,Guard,,G,True,False,False
