Year,Team,Valuation
2019,Orlando Magic,"1,325,000,000"
2018,Orlando Magic,"1,225,000,000"
2017,Orlando Magic,"920,000,000"
2016,Orlando Magic,"900,000,000"
2015,Orlando Magic,"875,000,000"
2014,Orlando Magic,"560,000,000"
2013,Orlando Magic,"470,000,000"
2012,Orlando Magic,"385,000,000"
2011,Orlando Magic,"385,000,000"
2025,Philadelphia 76ers,"4,600,000,000"
2024,Philadelphia 76ers,"4,300,000,000"
2023,Philadelphia 76ers,"3,150,000,000"
2022,Philadelphia 76ers,"2,450,000,000"
2021,Philadelphia 76ers,"2,075,000,000"
2020,Philadelphia 76ers,"2,000,000,000"
2019,Philadelphia 76ers,"1,650,000,000"
2018,Philadelphia 76ers,"1,180,000,000"
2017,Philadelphia 76ers,"800,000,000"
2016,Philadelphia 76ers,"700,000,000"
2015,Philadelphia 76ers,"700,000,000"
2014,Philadelphia 76ers,"469,000,000"
2013,Philadelphia 76ers,"418,000,000"
2012,Philadelphia 76ers,"314,000,000"
2011,Philadelphia 76ers,"330,000,000"
2025,Phoenix Suns,"4,300,000,000"
2024,Phoenix Suns,"4,000,000,000"
2023,Phoenix Suns,"2,700,000,000"
2022,Phoenix Suns,"1,800,000,000"
2021,Phoenix Suns,"1,700,000,000"
2020,Phoenix Suns,"1,625,000,000"
2019,Phoenix Suns,"1,500,000,000"
2018,Phoenix Suns,"1,280,000,000"
2017,Phoenix Suns,"1,100,000,000"
2016,Phoenix Suns,"1,000,000,000"
2015,Phoenix Suns,"910,000,000"
2014,Phoenix Suns,"565,000,000"
2013,Phoenix Suns,"474,000,000"
2012,Phoenix Suns,"395,000,000"
2011,Phoenix Suns,"411,000,000"
2025,Portland Trail Blazers,"3,500,000,000"
2024,Portland Trail Blazers,"3,080,000,000"
2023,Portland Trail Blazers,"2,100,000,000"
2022,Portland Trail Blazers,"2,050,000,000"
2021,Portland Trail Blazers,"1,900,000,000"
2020,Portland Trail Blazers,"1,850,000,000"
2019,Portland Trail Blazers,"1,600,000,000"
2018,Portland Trail Blazers,"1,300,000,000"
2017,Portland Trail Blazers,"1,050,000,000"
2016,Portland Trail Blazers,"975,000,000"
2015,Portland Trail Blazers,"940,000,000"
2014,Portland Trail Blazers,"587,000,000"
2013,Portland Trail Blazers,"457,000,000"
2012,Portland Trail Blazers,"370,000,000"
2011,Portland Trail Blazers,"356,000,000"
2025,Sacramento Kings,"3,700,000,000"
2024,Sacramento Kings,"3,330,000,000"
2023,Sacramento Kings,"2,030,000,000"
2022,Sacramento Kings,"2,000,000,000"
2021,Sacramento Kings,"1,825,000,000"
2020,Sacramento Kings,"1,775,000,000"
2019,Sacramento Kings,"1,575,000,000"
2018,Sacramento Kings,"1,375,000,000"
2017,Sacramento Kings,"1,075,000,000"
2016,Sacramento Kings,"925,000,000"
2015,Sacramento Kings,"800,000,000"
2014,Sacramento Kings,"550,000,000"
2013,Sacramento Kings,"527,000,000"
2012,Sacramento Kings,"300,000,000"
2011,Sacramento Kings,"293,000,000"
2025,San Antonio Spurs,"3,850,000,000"
2024,San Antonio Spurs,"3,250,000,000"
2023,San Antonio Spurs,"2,000,000,000"
2022,San Antonio Spurs,"1,980,000,000"
2021,San Antonio Spurs,"1,850,000,000"
2020,San Antonio Spurs,"1,800,000,000"
2019,San Antonio Spurs,"1,625,000,000"
2018,San Antonio Spurs,"1,550,000,000"
2017,San Antonio Spurs,"1,175,000,000"
2016,San Antonio Spurs,"1,150,000,000"
2015,San Antonio Spurs,"1,000,000,000"
2014,San Antonio Spurs,"660,000,000"
2013,San Antonio Spurs,"527,000,000"
2012,San Antonio Spurs,"418,000,000"
2011,San Antonio Spurs,"404,000,000"
2025,Toronto Raptors,"4,400,000,000"
2024,Toronto Raptors,"4,100,000,000"
2023,Toronto Raptors,"3,100,000,000"
2022,Toronto Raptors,"2,480,000,000"
2021,Toronto Raptors,"2,150,000,000"
2020,Toronto Raptors,"2,100,000,000"
2019,Toronto Raptors,"1,675,000,000"
2018,Toronto Raptors,"1,400,000,000"
2017,Toronto Raptors,"1,125,000,000"
2016,Toronto Raptors,"980,000,000"
2015,Toronto Raptors,"920,000,000"
2014,Toronto Raptors,"520,000,000"
2013,Toronto Raptors,"405,000,000"
2012,Toronto Raptors,"382,000,000"
2011,Toronto Raptors,"399,000,000"
2025,Utah Jazz,"3,550,000,000"
2024,Utah Jazz,"3,090,000,000"
2023,Utah Jazz,"2,025,000,000"
2022,Utah Jazz,"1,750,000,000"
2021,Utah Jazz,"1,660,000,000"
2020,Utah Jazz,"1,550,000,000"
2019,Utah Jazz,"1,425,000,000"
2018,Utah Jazz,"1,200,000,000"
2017,Utah Jazz,"910,000,000"
2016,Utah Jazz,"875,000,000"
2015,Utah Jazz,"850,000,000"
2014,Utah Jazz,"525,000,000"
2013,Utah Jazz,"432,000,000"
2012,Utah Jazz,"335,000,000"
2011,Utah Jazz,"343,000,000"
2025,Washington Wizards,"4,100,000,000"
2024,Washington Wizards,"3,500,000,000"
2023,Washington Wizards,"2,500,000,000"
2022,Washington Wizards,"1,930,000,000"
2021,Washington Wizards,"1,800,000,000"
2020,Washington Wizards,"1,750,000,000"
2019,Washington Wizards,"1,550,000,000"
2018,Washington Wizards,"1,350,000,000"
2017,Washington Wizards,"1,000,000,000"
2016,Washington Wizards,"960,000,000"
2015,Washington Wizards,"900,000,000"
2014,Washington Wizards,"485,000,000"
2013,Washington Wizards,"397,000,000"
2012,Washington Wizards,"328,000,000"
2011,Washington Wizards,"322,000,000"
2025,LeagueAverage,"4,416,666,667"
2024,LeagueAverage,"3,854,666,667"
2023,LeagueAverage,"2,863,500,000"
2022,LeagueAverage,"2,480,833,333"
2021,LeagueAverage,"2,228,333,333"
2020,LeagueAverage,"2,123,000,000"
2019,LeagueAverage,"1,868,333,333"
2018,LeagueAverage,"1,651,500,000"
2017,LeagueAverage,"1,355,333,333"
2016,LeagueAverage,"1,245,333,333"
2015,LeagueAverage,"1,106,166,667"
2014,LeagueAverage,"634,133,333"
2013,LeagueAverage,"509,100,000"
2012,LeagueAverage,"392,533,333"
2011,LeagueAverage,"368,766,667"
