,SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,GP,MIN
338,1996-97,Ray Owes,1077,GSW,57,10.4
339,1996-97,Reggie Geary,1002,CLE,39,6.2
340,1996-97,Reggie Jordan,674,MIN,19,6.8
341,1996-97,Reggie Miller,397,IND,81,36.6
342,1996-97,Reggie Slater,1073,TOR,26,15.6
343,1996-97,Reggie Williams,199,NJN,13,15.3
344,1996-97,Rex Chapman,364,PHX,65,28.3
345,1996-97,Rex Walters,777,PHI,59,17.7
346,1996-97,Richard Manning,316,LAC,26,7.7
347,1996-97,Rick Fox,296,BOS,76,34.8
348,1996-97,Rick Mahorn,328,DET,22,9.9
349,1996-97,Ricky Pierce,894,CHH,60,20.9
350,1996-97,Rik Smits,22,IND,52,29.2
351,1996-97,Robert Horry,109,LAL,54,25.8
352,1996-97,Robert Pack,123,DAL,54,33.0
353,1996-97,Robert Parish,305,CHI,43,9.5
354,1996-97,Robert Werdann,438,NJN,6,5.1
355,1996-97,Rod Strickland,393,WAS,82,36.6
356,1996-97,Rodney Rogers,915,LAC,81,30.5
357,1996-97,Ron Harper,166,CHI,76,22.9
358,1996-97,Rony Seikaly,938,ORL,74,35.3
359,1996-97,Roy Rogers,964,VAN,82,22.6
360,1996-97,Ruben Nembhard,1129,POR,10,11.4
361,1996-97,Rumeal Robinson,716,POR,54,9.3
362,1996-97,Sam Cassell,208,NJN,61,28.1
363,1996-97,Sam Mack,694,HOU,52,17.4
364,1996-97,Sam Mitchell,417,MIN,82,25.0
365,1996-97,Sam Perkins,64,SEA,81,24.4
366,1996-97,Samaki Walker,955,DAL,43,14.0
367,1996-97,Sarunas Marciulionis,36,DEN,17,15.1
368,1996-97,Sasha Danilovic,390,DAL,56,31.9
369,1996-97,Scott Brooks,418,NYK,38,6.5
370,1996-97,Scott Burrell,197,GSW,57,16.5
371,1996-97,Scott Williams,281,PHI,62,21.3
372,1996-97,Scottie Pippen,937,CHI,82,37.7
373,1996-97,Sean Elliott,251,SAS,39,35.7
374,1996-97,Sean Rooks,399,LAL,69,10.7
375,1996-97,Sedale Threatt,9,HOU,21,16.0
376,1996-97,Shandon Anderson,1000,UTA,65,16.4
377,1996-97,Shane Heal,1049,MIN,43,5.3
378,1996-97,Shaquille O'Neal,406,LAL,51,38.1
379,1996-97,Shareef Abdur-Rahim,949,VAN,80,35.0
380,1996-97,Sharone Wright,412,TOR,60,16.8
381,1996-97,Shawn Bradley,762,DAL,73,31.4
382,1996-97,Shawn Kemp,431,SEA,81,34.0
383,1996-97,Shawn Respert,704,TOR,41,12.1
384,1996-97,Shawnelle Scott,1035,CLE,16,3.0
385,1996-97,Sherman Douglas,428,MIL,79,29.3
386,1996-97,Stacey Augmon,278,POR,60,15.7
387,1996-97,Stacey King,351,DAL,11,9.3
388,1996-97,Stanley Roberts,914,LAC,18,21.0
389,1996-97,Stephen Howard,1128,UTA,49,8.5
390,1996-97,Stephon Marbury,950,MIN,67,34.7
391,1996-97,Steve Hamer,984,BOS,35,7.6
392,1996-97,Steve Kerr,70,CHI,82,22.7
393,1996-97,Steve Nash,959,PHX,65,10.5
394,1996-97,Steve Scheffler,88,SEA,7,3.9
395,1996-97,Steven Smith,120,ATL,72,39.2
396,1996-97,Stevin Smith,1478,DAL,8,7.6
397,1996-97,Stojko Vrankovic,1037,MIN,53,14.5
398,1996-97,Terrell Brandon,210,CLE,78,36.8
399,1996-97,Terry Cummings,187,SEA,45,18.3
400,1996-97,Terry Dehere,143,LAC,73,14.4
401,1996-97,Terry Mills,371,DET,79,25.3
402,1996-97,Terry Porter,345,MIN,82,19.2
403,1996-97,Theo Ratliff,689,DET,76,17.0
404,1996-97,Tim Hardaway,896,MIA,81,38.8
405,1996-97,Tim Kempton,1118,SAS,10,5.9
406,1996-97,Tim Legler,100,WAS,15,12.2
407,1996-97,Todd Day,103,BOS,81,28.2
408,1996-97,Todd Fuller,957,GSW,75,12.6
409,1996-97,Tom Chambers,1472,CHH,12,6.8
410,1996-97,Tom Gugliotta,339,MIN,81,38.7
411,1996-97,Tom Hammonds,67,DEN,81,21.7
412,1996-97,Toni Kukoc,389,CHI,57,28.3
413,1996-97,Tony Delk,960,CHH,61,14.2
414,1996-97,Tony Dumas,434,PHX,24,11.6
415,1996-97,Tony Massenburg,763,NJN,79,24.7
416,1996-97,Tony Smith,380,CHH,69,18.7
417,1996-97,Tracy Moore,929,HOU,27,8.8
418,1996-97,Tracy Murray,145,WAS,82,22.2
419,1996-97,Travis Best,696,IND,76,27.2
420,1996-97,Travis Knight,969,LAL,71,16.3
421,1996-97,Tyrone Corbin,895,ATL,70,33.0
422,1996-97,Tyrone Hill,238,CLE,74,34.9
423,1996-97,Tyus Edney,721,SAC,70,19.7
424,1996-97,Vernon Maxwell,137,SAS,72,28.8
425,1996-97,Vin Baker,452,MIL,78,40.5
426,1996-97,Vincent Askew,355,DEN,43,19.5
427,1996-97,Vinny Del Negro,219,SAS,72,31.2
428,1996-97,Vitaly Potapenko,958,CLE,80,15.5
429,1996-97,Vlade Divac,124,CHH,81,35.1
430,1996-97,Voshon Lenard,702,MIA,73,28.9
431,1996-97,Walt Williams,1005,TOR,73,36.3
432,1996-97,Walter McCarty,962,NYK,35,5.4
433,1996-97,Wayman Tisdale,47,PHX,53,14.7
434,1996-97,Wesley Person,445,PHX,80,29.1
435,1996-97,Will Perdue,781,SAS,65,29.5
436,1996-97,Willie Anderson,335,MIA,28,10.7
437,1996-97,Willie Burton,416,ATL,24,15.9
438,1996-97,Xavier McDaniel,1365,NJN,62,18.9
439,1996-97,Yinka Dare,212,NJN,41,7.7
440,1996-97,Zan Tabak,440,TOR,13,16.7
441,1997-98,A.C. Green,920,DAL,82,32.3
442,1997-98,Aaron McKie,243,PHI,81,22.4
443,1997-98,Aaron Williams,1425,SEA,65,11.6
444,1997-98,Adam Keefe,228,UTA,80,25.6
445,1997-98,Adonal Foyle,1502,GSW,55,12.0
446,1997-98,Adrian Caldwell,154,DAL,1,2.7
447,1997-98,Alan Henderson,673,ATL,69,29.1
448,1997-98,Allan Houston,275,NYK,82,34.7
449,1997-98,Allen Iverson,947,PHI,80,39.4
450,1997-98,Alonzo Mourning,297,MIA,58,33.4
451,1997-98,Alton Lister,175,POR,7,6.2
452,1997-98,Alvin Williams,1541,TOR,54,19.8
453,1997-98,Andrew DeClercq,692,BOS,81,18.8
454,1997-98,Andrew Lang,457,MIL,57,12.1
455,1997-98,Anfernee Hardaway,358,ORL,19,32.9
456,1997-98,Anthony Bowie,194,NYK,27,8.2
457,1997-98,Anthony Goldwire,924,DEN,82,26.9
458,1997-98,Anthony Johnson,1533,SAC,77,29.4
459,1997-98,Anthony Mason,193,CHH,81,38.9
460,1997-98,Anthony Miller,292,ATL,37,6.2
461,1997-98,Anthony Parker,1515,PHI,37,5.3
462,1997-98,Anthony Peeler,324,MIN,38,31.4
463,1997-98,Antoine Carr,156,UTA,66,16.4
464,1997-98,Antoine Walker,952,BOS,82,39.9
465,1997-98,Antonio Daniels,1498,VAN,74,26.4
466,1997-98,Antonio Davis,213,IND,82,26.8
467,1997-98,Antonio Lang,226,MIA,6,5.0
468,1997-98,Antonio McDyess,686,PHX,81,30.0
469,1997-98,Armen Gilliam,288,MIL,82,25.8
470,1997-98,Arvydas Sabonis,717,POR,73,31.9
471,1997-98,Austin Croshere,1506,IND,26,9.4
472,1997-98,Avery Johnson,422,SAS,75,35.6
473,1997-98,B.J. Armstrong,769,CHH,66,12.6
474,1997-98,Ben Davis,989,NYK,7,1.7
475,1997-98,Ben Wallace,1112,WAS,67,16.8
476,1997-98,Benoit Benjamin,104,PHI,14,14.3
477,1997-98,Bill Curley,223,MIN,11,13.3
478,1997-98,Bill Wennington,82,CHI,48,9.7
479,1997-98,Billy Owens,182,SAC,78,30.1
